levelName,direction,setupType,calSource,delayMin,N,targetPct,stopPct,nonePct,avgExtraMfe,distinctDates
PD_VAH,SHORT,PD_VAH_FADE_SHORT,"real: stop=30 target=40",220,137,29.93,53.28,16.79,74.05,137
PD_VAH,SHORT,PD_VAH_FADE_SHORT,"real: stop=30 target=40",225,136,27.21,55.15,17.65,58.82,136
PD_VAH,SHORT,PD_VAH_FADE_SHORT,"real: stop=30 target=40",230,136,32.35,50.74,16.91,64.93,136
PD_VAH,SHORT,PD_VAH_FADE_SHORT,"real: stop=30 target=40",235,136,33.09,50.00,16.91,67.08,136
PD_VAH,SHORT,PD_VAH_FADE_SHORT,"real: stop=30 target=40",240,136,33.09,48.53,18.38,61.04,136
PD_VAL,LONG,PD_VAL_FADE_LONG,"real: stop=41 target=40",0,119,51.26,47.90,0.84,144.90,119
PD_VAL,LONG,PD_VAL_FADE_LONG,"real: stop=41 target=40",5,119,51.26,47.90,0.84,175.27,119
PD_VAL,LONG,PD_VAL_FADE_LONG,"real: stop=41 target=40",10,119,48.74,50.42,0.84,135.41,119
PD_VAL,LONG,PD_VAL_FADE_LONG,"real: stop=41 target=40",15,119,42.02,57.14,0.84,141.13,119
PD_VAL,LONG,PD_VAL_FADE_LONG,"real: stop=41 target=40",20,119,52.94,46.22,0.84,155.50,119
PD_VAL,LONG,PD_VAL_FADE_LONG,"real: stop=41 target=40",25,119,46.22,51.26,2.52,141.12,119
PD_VAL,LONG,PD_VAL_FADE_LONG,"real: stop=41 target=40",30,119,46.22,51.26,2.52,148.11,119
PD_VAL,LONG,PD_VAL_FADE_LONG,"real: stop=41 target=40",35,119,52.10,45.38,2.52,138.54,119
PD_VAL,LONG,PD_VAL_FADE_LONG,"real: stop=41 target=40",40,119,51.26,46.22,2.52,148.78,119
PD_VAL,LONG,PD_VAL_FADE_LONG,"real: stop=41 target=40",45,119,54.62,42.86,2.52,137.52,119
PD_VAL,LONG,PD_VAL_FADE_LONG,"real: stop=41 target=40",50,119,42.02,55.46,2.52,120.69,119
PD_VAL,LONG,PD_VAL_FADE_LONG,"real: stop=41 target=40",55,119,53.78,43.70,2.52,124.14,119
PD_VAL,LONG,PD_VAL_FADE_LONG,"real: stop=41 target=40",60,119,47.06,50.42,2.52,137.95,119
PD_VAL,LONG,PD_VAL_FADE_LONG,"real: stop=41 target=40",65,119,53.78,43.70,2.52,126.81,119
PD_VAL,LONG,PD_VAL_FADE_LONG,"real: stop=41 target=40",70,119,51.26,46.22,2.52,135.54,119
PD_VAL,LONG,PD_VAL_FADE_LONG,"real: stop=41 target=40",75,119,51.26,45.38,3.36,123.62,119
PD_VAL,LONG,PD_VAL_FADE_LONG,"real: stop=41 target=40",80,119,54.62,42.02,3.36,134.62,119
PD_VAL,LONG,PD_VAL_FADE_LONG,"real: stop=41 target=40",85,119,47.90,48.74,3.36,129.13,119
PD_VAL,LONG,PD_VAL_FADE_LONG,"real: stop=41 target=40",90,119,51.26,45.38,3.36,119.07,119
PD_VAL,LONG,PD_VAL_FADE_LONG,"real: stop=41 target=40",95,119,54.62,41.18,4.20,121.47,119
PD_VAL,LONG,PD_VAL_FADE_LONG,"real: stop=41 target=40",100,119,44.54,51.26,4.20,113.92,119
PD_VAL,LONG,PD_VAL_FADE_LONG,"real: stop=41 target=40",105,119,54.62,40.34,5.04,120.58,119
PD_VAL,LONG,PD_VAL_FADE_LONG,"real: stop=41 target=40",110,119,50.42,44.54,5.04,114.08,119
PD_VAL,LONG,PD_VAL_FADE_LONG,"real: stop=41 target=40",115,119,43.70,51.26,5.04,133.75,119
PD_VAL,LONG,PD_VAL_FADE_LONG,"real: stop=41 target=40",120,119,51.26,42.02,6.72,124.93,119
PD_VAL,LONG,PD_VAL_FADE_LONG,"real: stop=41 target=40",125,119,39.50,53.78,6.72,106.29,119
PD_VAL,LONG,PD_VAL_FADE_LONG,"real: stop=41 target=40",130,118,47.46,47.46,5.08,117.81,118
PD_VAL,LONG,PD_VAL_FADE_LONG,"real: stop=41 target=40",135,118,48.31,46.61,5.08,89.06,118
PD_VAL,LONG,PD_VAL_FADE_LONG,"real: stop=41 target=40",140,118,50.85,43.22,5.93,110.55,118
PD_VAL,LONG,PD_VAL_FADE_LONG,"real: stop=41 target=40",145,118,47.46,45.76,6.78,104.83,118
PD_VAL,LONG,PD_VAL_FADE_LONG,"real: stop=41 target=40",150,118,46.61,48.31,5.08,93.20,118
PD_VAL,LONG,PD_VAL_FADE_LONG,"real: stop=41 target=40",155,118,52.54,41.53,5.93,104.66,118
PD_VAL,LONG,PD_VAL_FADE_LONG,"real: stop=41 target=40",160,117,51.28,41.03,7.69,108.59,117
PD_VAL,LONG,PD_VAL_FADE_LONG,"real: stop=41 target=40",165,117,51.28,41.88,6.84,85.50,117
PD_VAL,LONG,PD_VAL_FADE_LONG,"real: stop=41 target=40",170,117,52.14,41.03,6.84,91.22,117
PD_VAL,LONG,PD_VAL_FADE_LONG,"real: stop=41 target=40",175,117,50.43,41.88,7.69,68.39,117
PD_VAL,LONG,PD_VAL_FADE_LONG,"real: stop=41 target=40",180,117,46.15,45.30,8.55,82.95,117
PD_VAL,LONG,PD_VAL_FADE_LONG,"real: stop=41 target=40",185,117,46.15,45.30,8.55,84.72,117
PD_VAL,LONG,PD_VAL_FADE_LONG,"real: stop=41 target=40",190,117,51.28,41.03,7.69,71.67,117
PD_VAL,LONG,PD_VAL_FADE_LONG,"real: stop=41 target=40",195,117,49.57,41.88,8.55,77.35,117
PD_VAL,LONG,PD_VAL_FADE_LONG,"real: stop=41 target=40",200,117,44.44,44.44,11.11,69.75,117
PD_VAL,LONG,PD_VAL_FADE_LONG,"real: stop=41 target=40",205,117,51.28,39.32,9.40,70.12,117
PD_VAL,LONG,PD_VAL_FADE_LONG,"real: stop=41 target=40",210,117,49.57,35.90,14.53,77.37,117
PD_VAL,LONG,PD_VAL_FADE_LONG,"real: stop=41 target=40",215,117,46.15,40.17,13.68,75.20,117
PD_VAL,LONG,PD_VAL_FADE_LONG,"real: stop=41 target=40",220,116,47.41,37.93,14.66,69.97,116
PD_VAL,LONG,PD_VAL_FADE_LONG,"real: stop=41 target=40",225,116,44.83,38.79,16.38,83.68,116
PD_VAL,LONG,PD_VAL_FADE_LONG,"real: stop=41 target=40",230,115,43.48,40.87,15.65,68.66,115
PD_VAL,LONG,PD_VAL_FADE_LONG,"real: stop=41 target=40",235,115,40.00,43.48,16.52,70.75,115
PD_VAL,LONG,PD_VAL_FADE_LONG,"real: stop=41 target=40",240,115,36.52,46.09,17.39,66.14,115
PD_HIGH,SHORT,PD_HIGH_FADE_SHORT,"real: stop=19 target=40",0,115,37.39,61.74,0.87,125.03,115
PD_HIGH,SHORT,PD_HIGH_FADE_SHORT,"real: stop=19 target=40",5,115,28.70,70.43,0.87,152.13,115
PD_HIGH,SHORT,PD_HIGH_FADE_SHORT,"real: stop=19 target=40",10,115,32.17,66.96,0.87,212.31,115
PD_HIGH,SHORT,PD_HIGH_FADE_SHORT,"real: stop=19 target=40",15,115,32.17,66.96,0.87,192.59,115
PD_HIGH,SHORT,PD_HIGH_FADE_SHORT,"real: stop=19 target=40",20,115,29.57,69.57,0.87,125.92,115
PD_HIGH,SHORT,PD_HIGH_FADE_SHORT,"real: stop=19 target=40",25,115,30.43,68.70,0.87,139.84,115
PD_HIGH,SHORT,PD_HIGH_FADE_SHORT,"real: stop=19 target=40",30,115,26.09,73.04,0.87,152.21,115
PD_HIGH,SHORT,PD_HIGH_FADE_SHORT,"real: stop=19 target=40",35,115,32.17,66.09,1.74,136.66,115
PD_HIGH,SHORT,PD_HIGH_FADE_SHORT,"real: stop=19 target=40",40,115,24.35,73.91,1.74,155.53,115
PD_HIGH,SHORT,PD_HIGH_FADE_SHORT,"real: stop=19 target=40",45,115,28.70,68.70,2.61,124.09,115
PD_HIGH,SHORT,PD_HIGH_FADE_SHORT,"real: stop=19 target=40",50,115,30.43,66.96,2.61,221.44,115
PD_HIGH,SHORT,PD_HIGH_FADE_SHORT,"real: stop=19 target=40",55,115,27.83,70.43,1.74,191.70,115
PD_HIGH,SHORT,PD_HIGH_FADE_SHORT,"real: stop=19 target=40",60,115,29.57,68.70,1.74,156.52,115
PD_HIGH,SHORT,PD_HIGH_FADE_SHORT,"real: stop=19 target=40",65,115,31.30,66.96,1.74,172.47,115
PD_HIGH,SHORT,PD_HIGH_FADE_SHORT,"real: stop=19 target=40",70,115,31.30,66.09,2.61,148.64,115
PD_HIGH,SHORT,PD_HIGH_FADE_SHORT,"real: stop=19 target=40",75,115,28.70,67.83,3.48,160.48,115
PD_HIGH,SHORT,PD_HIGH_FADE_SHORT,"real: stop=19 target=40",80,115,33.04,64.35,2.61,136.39,115
PD_HIGH,SHORT,PD_HIGH_FADE_SHORT,"real: stop=19 target=40",85,115,25.22,71.30,3.48,126.15,115
PD_HIGH,SHORT,PD_HIGH_FADE_SHORT,"real: stop=19 target=40",90,115,22.61,72.17,5.22,163.63,115
PD_HIGH,SHORT,PD_HIGH_FADE_SHORT,"real: stop=19 target=40",95,115,34.78,60.00,5.22,143.24,115
PD_HIGH,SHORT,PD_HIGH_FADE_SHORT,"real: stop=19 target=40",100,115,33.91,60.87,5.22,84.73,115
PD_HIGH,SHORT,PD_HIGH_FADE_SHORT,"real: stop=19 target=40",105,115,30.43,64.35,5.22,133.99,115
PD_HIGH,SHORT,PD_HIGH_FADE_SHORT,"real: stop=19 target=40",110,115,23.48,71.30,5.22,112.46,115
PD_HIGH,SHORT,PD_HIGH_FADE_SHORT,"real: stop=19 target=40",115,115,20.87,73.04,6.09,62.10,115
PD_HIGH,SHORT,PD_HIGH_FADE_SHORT,"real: stop=19 target=40",120,115,20.87,72.17,6.96,132.78,115
PD_HIGH,SHORT,PD_HIGH_FADE_SHORT,"real: stop=19 target=40",125,115,21.74,71.30,6.96,130.43,115
PD_HIGH,SHORT,PD_HIGH_FADE_SHORT,"real: stop=19 target=40",130,115,28.70,64.35,6.96,122.27,115
PD_HIGH,SHORT,PD_HIGH_FADE_SHORT,"real: stop=19 target=40",135,115,21.74,72.17,6.09,144.72,115
PD_HIGH,SHORT,PD_HIGH_FADE_SHORT,"real: stop=19 target=40",140,115,35.65,57.39,6.96,75.97,115
PD_HIGH,SHORT,PD_HIGH_FADE_SHORT,"real: stop=19 target=40",145,114,23.68,71.05,5.26,109.50,114
