entryTime,direction,entryPrice,stopPrice,pivotPrice,streak,numTouches,fwd30,fwd60,fwd120,fwd240
2026-03-23 02:40:00,SHORT,23872,23955.126,23927.25,3,4,-24.00,64.75,-66.25,34.50
2026-03-08 18:15:00,SHORT,24275.25,24480.626,24285,1,2,-32.50,-2.50,80.00,262.00
2025-11-24 09:45:00,LONG,24617.75,24508.71575,24555.25,7,8,119.00,195.75,270.25,315.50
2026-02-05 18:45:00,SHORT,24350.75,24442.53425,24404,9,10,95.25,-23.00,-118.75,-148.00
2025-11-25 12:40:00,LONG,25032.5,24956.96575,24993.5,1,2,-26.25,-26.75,-91.50,29.75
2026-02-05 16:25:00,SHORT,24545,24728.38375,24602,5,6,105.75,154.75,185.25,8.75
2025-12-17 11:05:00,SHORT,25104.5,25151.75825,25118.5,6,7,89.50,101.00,49.75,149.50
2025-12-01 10:15:00,LONG,25364,25284.59225,25342.75,1,2,-25.25,-25.75,63.50,76.50
2025-12-02 09:05:00,LONG,25507.25,25469.09225,25495.75,5,6,34.25,135.25,109.50,41.50
2025-12-02 22:35:00,LONG,25673.5,25628.61075,25654.75,4,5,-8.75,-9.25,-6.75,-7.00
2025-12-04 04:50:00,LONG,25688,25637.36075,25670,28,29,-10.00,-39.00,-38.00,-53.00
2025-12-17 04:20:00,LONG,25442.5,25389.61075,25414.5,13,14,16.25,30.50,29.00,-36.75
2025-12-04 09:15:00,LONG,25705.75,25623.10825,25678.25,11,12,-114.75,-148.75,-164.25,-93.00
2025-12-17 04:25:00,LONG,25433,25393.35825,25421.5,15,16,30.75,37.50,44.00,1.00
2025-12-17 04:40:00,LONG,25455.5,25393.35825,25430,10,11,18.25,7.75,31.50,-31.75
2025-12-10 22:15:00,SHORT,25453.5,25558.55,25520.5,6,7,-14.75,-62.50,-43.25,-56.00
2025-12-10 22:15:00,SHORT,25453.5,25558.55,25505,1,2,-14.75,-62.50,-43.25,-56.00
2025-12-10 21:55:00,SHORT,25549.25,25618.39525,25579.75,8,9,72.25,78.25,41.25,46.50
2025-12-24 11:50:00,LONG,25876.5,25842.35475,25868,4,5,-3.00,2.50,9.50,23.75
2025-12-24 11:45:00,LONG,25882,25840.582,25860.75,4,5,-3.75,-10.50,6.25,19.50
2025-12-10 11:05:00,SHORT,25577,25634.918,25593.75,14,15,-71.00,-68.50,-71.50,-259.00
2025-12-10 22:00:00,SHORT,25457.75,25590.668,25564.75,6,7,1.75,-26.25,-49.25,-51.75
2025-12-10 15:00:00,LONG,25840.5,25652.832,25729.5,15,16,-0.75,-37.25,-53.75,-173.50
2025-12-10 22:00:00,SHORT,25457.75,25590.49975,25560,4,5,1.75,-26.25,-49.25,-51.75
