zoneId,entryTime,direction,entryPrice,stopPrice,streak,mfeAtr,p50_pnl,p50_win
307,2025-12-24 11:15:00,LONG,25848.25,25807.832,13,0.322,110.49,true
339,2025-12-24 11:20:00,LONG,25854,25822.853,1,0.301,110.49,true
308,2025-12-24 11:50:00,LONG,25876.5,25842.582,6,0.218,110.49,true
309,2025-12-24 11:50:00,LONG,25876.5,25842.582,5,0.218,110.49,true
341,2025-12-25 19:10:00,LONG,25905.25,25868.73725,2,0.043,-75.03,false
342,2025-12-25 19:15:00,LONG,25903,25878.23725,3,0.051,-51.53,false
342,2025-12-25 22:50:00,SHORT,25883.75,25904.76275,2,0.154,-44.03,false
341,2025-12-26 00:05:00,SHORT,25880.25,25900.26275,4,0.141,-42.03,false
308,2025-12-26 02:55:00,SHORT,25860.25,25887.918,14,0.065,-57.34,false
309,2025-12-26 03:10:00,SHORT,25851,25885.668,14,0.029,-71.34,false
309,2025-12-26 05:05:00,LONG,25883.25,25839.332,0,0.198,-89.84,false
308,2025-12-26 05:10:00,LONG,25886,25852.082,1,0.187,-69.84,false
341,2025-12-26 07:45:00,LONG,25894.75,25867.48725,6,0.108,-56.53,false
342,2025-12-26 08:40:00,LONG,25917.25,25875.73725,6,0.023,-85.03,false
342,2025-12-26 10:05:00,SHORT,25867.75,25921.01275,3,1.236,107.70,true
341,2025-12-26 10:10:00,SHORT,25841.5,25921.01275,5,1.136,107.70,true
341,2025-12-26 10:55:00,LONG,25899.5,25856.23725,0,0.048,-88.53,false
341,2025-12-26 11:20:00,SHORT,25879.75,25916.01275,0,1.282,107.70,true
308,2025-12-26 12:20:00,SHORT,25858.5,25891.418,10,0.015,-67.84,false
309,2025-12-26 12:20:00,SHORT,25858.5,25892.418,8,0.015,-69.84,false
308,2025-12-26 13:55:00,LONG,25891.75,25846.582,0,0.028,-92.34,false
309,2025-12-26 13:55:00,LONG,25891.75,25846.582,0,0.028,-92.34,false
341,2025-12-26 14:05:00,LONG,25896.25,25866.23725,4,0.010,-62.03,false
341,2025-12-26 15:15:00,SHORT,25871,25897.26275,1,1.680,107.70,true
308,2025-12-26 16:40:00,SHORT,25859.25,25887.418,2,0.062,-58.34,false
309,2025-12-26 16:40:00,SHORT,25859.25,25887.418,3,0.062,-58.34,false
308,2025-12-28 19:50:00,LONG,25879.75,25845.832,2,0.053,-69.84,false
309,2025-12-28 19:50:00,LONG,25879.75,25850.332,4,0.053,-60.84,false
308,2025-12-28 20:45:00,SHORT,25845,25887.168,0,1.560,109.13,true
309,2025-12-28 20:45:00,SHORT,25845,25891.168,0,1.560,109.13,true
346,2025-12-28 20:45:00,SHORT,25845,25873.83175,4,1.560,109.13,true
339,2025-12-29 00:15:00,SHORT,25831.75,25861.397,12,1.511,109.13,true
307,2025-12-29 00:30:00,SHORT,25822.25,25863.918,7,1.475,109.13,true
338,2025-12-29 02:10:00,SHORT,25794.25,25828.147,3,1.370,109.13,true
345,2025-12-29 02:10:00,SHORT,25794.25,25844.83175,4,1.370,109.13,true
316,2025-12-29 03:10:00,SHORT,25782,25814.5035,6,0.470,109.13,true
340,2025-12-29 03:10:00,SHORT,25782,25817.76275,1,0.470,109.13,true
286,2025-12-29 03:45:00,SHORT,25737.75,25812.04025,22,0.304,109.13,true
311,2025-12-29 03:45:00,SHORT,25737.75,25811.24975,21,0.304,109.13,true
302,2025-12-29 03:55:00,SHORT,25738.75,25783.39525,3,0.308,109.13,true
303,2025-12-29 03:55:00,SHORT,25738.75,25783.39525,2,0.308,109.13,true
302,2025-12-29 04:20:00,LONG,25762,25730.60475,0,0.055,-64.79,false
302,2025-12-29 06:20:00,SHORT,25740.75,25771.39525,3,0.008,-63.29,false
302,2025-12-29 06:40:00,LONG,25770,25730.35475,0,0.025,-81.29,false
303,2025-12-29 07:00:00,LONG,25770.75,25736.60475,5,0.023,-70.29,false
303,2025-12-29 08:20:00,SHORT,25743.5,25783.64525,1,0.325,109.13,true
302,2025-12-29 08:40:00,SHORT,25738.5,25775.64525,1,0.307,109.13,true
306,2025-12-29 08:55:00,SHORT,25693,25756.168,9,0.136,-128.34,false
289,2025-12-29 09:00:00,SHORT,25689.75,25750.15775,0,0.124,-122.82,false
289,2025-12-29 09:45:00,LONG,25747.25,25655.84225,0,0.096,-184.82,false
