mode,pop_n,pct_backfill,category,slice_name,horizon,n,missing_horizon,baseline_mean,baseline_median,slice_mean,slice_median,slice_stddev,delta_mean,status
ALL,5094,87.3,setup_type,CAM_S4_FADE_SHORT,60,1,0,239.65,203.25,-132.25,-132.25,undefined,-371.90,INSUFFICIENT
ALL,5094,87.3,setup_type,CAM_S4_FADE_SHORT,120,1,0,200.20,175.25,-251.75,-251.75,undefined,-451.95,INSUFFICIENT
ALL,5094,87.3,setup_type,CAM_S4_FADE_SHORT,240,1,0,71.57,33.00,-256.25,-256.25,undefined,-327.82,INSUFFICIENT
ALL,5094,87.3,setup_type,TRT_SHORT,15,6,0,255.89,220.50,129.46,90.75,207.25,-126.44,INSUFFICIENT
ALL,5094,87.3,setup_type,TRT_SHORT,30,6,0,251.41,214.75,150.33,141.50,198.43,-101.08,INSUFFICIENT
ALL,5094,87.3,setup_type,TRT_SHORT,60,6,0,239.65,203.25,132.29,126.88,238.03,-107.36,INSUFFICIENT
ALL,5094,87.3,setup_type,TRT_SHORT,120,6,0,200.20,175.25,132.63,82.00,291.07,-67.57,INSUFFICIENT
ALL,5094,87.3,setup_type,TRT_SHORT,240,6,0,71.57,33.00,-8.25,-99.13,259.12,-79.82,INSUFFICIENT
ALL,5094,87.3,setup_type,3M_VAL_FADE_SHORT_OVERNIGHT,15,3,0,255.89,220.50,32.08,22.75,16.82,-223.81,INSUFFICIENT
ALL,5094,87.3,setup_type,3M_VAL_FADE_SHORT_OVERNIGHT,30,3,0,251.41,214.75,10.00,3.25,16.45,-241.41,INSUFFICIENT
ALL,5094,87.3,setup_type,3M_VAL_FADE_SHORT_OVERNIGHT,60,3,0,239.65,203.25,23.83,34.75,52.73,-215.82,INSUFFICIENT
ALL,5094,87.3,setup_type,3M_VAL_FADE_SHORT_OVERNIGHT,120,3,0,200.20,175.25,-23.58,-56.50,66.31,-223.78,INSUFFICIENT
ALL,5094,87.3,setup_type,3M_VAL_FADE_SHORT_OVERNIGHT,240,3,0,71.57,33.00,-11.50,-8.25,89.67,-83.07,INSUFFICIENT
ALL,5094,87.3,setup_type,C_PAIRED_SHORT,15,10,0,255.89,220.50,139.65,138.75,155.13,-116.24,INSUFFICIENT
ALL,5094,87.3,setup_type,C_PAIRED_SHORT,30,10,0,251.41,214.75,119.45,129.50,140.38,-131.96,INSUFFICIENT
ALL,5094,87.3,setup_type,C_PAIRED_SHORT,60,10,0,239.65,203.25,87.10,83.50,138.65,-152.55,INSUFFICIENT
ALL,5094,87.3,setup_type,C_PAIRED_SHORT,120,10,0,200.20,175.25,4.92,60.88,252.40,-195.27,INSUFFICIENT
