group,targetLevel,targetAtr,entryDate,month,type,ev,win,exitReason,pnlPts
3_GLOBEX,p75,0.42837560230017063,2026-03-04,2026-03,HIGH,-180.70449999999983,0,STOP,-89.35224999999991
3_GLOBEX,p75,0.42837560230017063,2026-03-04,2026-03,HIGH,-128.20449999999983,0,STOP,-63.10224999999991
3_GLOBEX,p75,0.42837560230017063,2026-03-04,2026-03,LOW,-126.70449999999983,0,STOP,-62.35224999999991
3_GLOBEX,p75,0.42837560230017063,2026-03-04,2026-03,LOW,-55.204499999999825,0,STOP,-26.602249999999913
3_GLOBEX,p75,0.42837560230017063,2026-03-06,2026-03,LOW,-97.81450000000041,0,STOP,-47.907250000000204
3_GLOBEX,p75,0.42837560230017063,2026-03-06,2026-03,LOW,336.72729812880425,1,TARGET,169.36364906440213
3_GLOBEX,p75,0.42837560230017063,2026-03-10,2026-03,HIGH,339.9722433162242,1,TARGET,170.9861216581121
3_GLOBEX,p75,0.42837560230017063,2026-03-10,2026-03,LOW,-81.96600000000035,0,STOP,-39.983000000000175
3_GLOBEX,p75,0.42837560230017063,2026-03-11,2026-03,HIGH,-109.61849999999686,0,STOP,-53.80924999999843
3_GLOBEX,p75,0.42837560230017063,2026-03-11,2026-03,LOW,-138.61849999999686,0,STOP,-68.30924999999843
3_GLOBEX,p75,0.42837560230017063,2026-03-17,2026-03,HIGH,-46.387000000002445,0,STOP,-22.193500000001222
3_GLOBEX,p75,0.42837560230017063,2026-03-17,2026-03,LOW,327.57076962963765,1,TARGET,164.78538481481883
3_GLOBEX,p75,0.42837560230017063,2026-03-17,2026-03,HIGH,-28.387000000002445,0,STOP,-13.193500000001222
3_GLOBEX,p75,0.42837560230017063,2026-03-17,2026-03,LOW,-125.88700000000244,0,STOP,-61.94350000000122
3_GLOBEX,p75,0.42837560230017063,2026-03-18,2026-03,LOW,-177.8475000000035,0,STOP,-87.92375000000175
3_GLOBEX,p75,0.42837560230017063,2026-03-18,2026-03,HIGH,-113.34750000000349,0,STOP,-55.673750000001746
